Gene1	Gene2
AAT2_damp	VPH1
AAT2_damp	VPS5
AAT2_damp	YBL055C
AAT2_damp	YBR063C
AAT2_damp	YCL033C
AAT2_damp	YCR006C
AAT2_damp	YDL114W
AAT2_damp	YDL134C-A
AAT2_damp	YDR149C
AAT2_damp	YDR262W
AAT2_damp	YDR278C
AAT2_damp	YDR307W
AAT2_damp	YDR506C
AAT2_damp	YFR054C
AAT2_damp	YGL024W
AAT2_damp	YGL118C
AAT2_damp	YGL159W
AAT2_damp	YGL230C
AAT2_damp	YGR207C
AAT2_damp	YGR235C
AAT2_damp	YIR042C
AAT2_damp	YME1
AAT2_damp	YMR160W
AAT2_damp	YNL024C
AAT2_damp	YNR061C
AAT2_damp	YNR062C
AAT2_damp	YNR065C
AAT2_damp	YNR066C
AAT2_damp	YNR071C
AAT2_damp	YOL092W
AAT2_damp	YOR021C
AAT2_damp	YOR029W
AAT2_damp	YOR062C
AAT2_damp	YOR114W
AAT2_damp	YOR238W
AAT2_damp	YOR289W
AAT2_damp	YPK2
AAT2_damp	YPK9
AAT2_damp	YPR196W
AAT2_damp	YUR1
AAT2_damp	ZRG17
ABM1	ALT2
ABM1	ARL3
ABM1	BIT61
ABM1	BRE5
ABM1	COX23
ABM1	COX6
ABM1	ERS1
ABM1	ERV41
ABM1	FAR3
ABM1	FAR7
ABM1	HDA3
ABM1	HHT2
ABM1	HIR1
ABM1	HTZ1
ABM1	IOC4
ABM1	MMS1
ABM1	OST2_damp
ABM1	OYE2
ABM1	PEX12
ABM1	PEX4
ABM1	PMP2
ABM1	POP4_damp
ABM1	PTR3_damp
ABM1	RDI1
ABM1	RGP1
ABM1	RIM15
ABM1	RML2
ABM1	RPS1B
ABM1	RRI1
ABM1	SDH4
ABM1	SDT1
ABM1	SGE1
ABM1	SHP1
ABM1	SIN4
ABM1	SIP1
ABM1	THI13
ABM1	UTR4
ABM1	VMA9
ABM1	apc5-CA
ABM1	cdc10-4
ABM1	cdc19-1
ABM1	cdc3-1
ABM1	cdc3-3
ABM1	mcm2-1
ABM1	mge1-100
ABM1	prp4-1
ABM1	use1-ts
ABP1	ABZ2
ABP1	ARC18
ABP1	ATP10
ABP1	ATP11
ABP1	BUB3
ABP1	BUD21
ABP1	CDA2
ABP1	DDC1
ABP1	DEP1
ABP1	DPH5
ABP1	ECM1
ABP1	ECM2
ABP1	ECM8
ABP1	ENO2
ABP1	FAA1
ABP1	GCN5
ABP1	GDT1
ABP1	GYP8
ABP1	HMI1
ABP1	HSP60_damp
ABP1	IMD3
ABP1	KEM1
ABP1	KGD2
ABP1	MDM10
ABP1	MET14
ABP1	MGR2
ABP1	MRE11
ABP1	MSS1
ABP1	MUP1
ABP1	NAP1
ABP1	NRD1_damp
ABP1	NUP120
ABP1	PAA1
ABP1	PAP2
ABP1	PCK1
ABP1	PDE2
ABP1	PHO23
ABP1	PXA1
ABP1	RAP1_damp
ABP1	RGP1
ABP1	RML2
ABP1	RPS11B
ABP1	RPS6B
ABP1	SAC3
ABP1	SCJ1
ABP1	SEC28
ABP1	SEM1
ABP1	SHE1
ABP1	SKT5
ABP1	SPO19
ABP1	SPP382_damp
ABP1	SPT3
ABP1	SSO2
ABP1	SSY1_damp
ABP1	SSZ1
ABP1	SWC3
ABP1	SWI6
ABP1	TFP1
ABP1	TPM1
ABP1	UBP6
ABP1	VPS27
ABP1	VPS5
ABP1	YBL071C
ABP1	YBP2
ABP1	YDR455C
ABP1	YGL218W
ABP1	YHR180W
ABP1	YIL083C_damp
ABP1	YLR152C
ABP1	YML012C-A
ABP1	YPT6
ABP1	YSC83
ABP1	cdc3-3
ABP1	pol1-2
ABP1	rrp1-1
ABP1	rsp5-3
ABP1	scc2-4
ABP1	sec63-1
ABP1	sec9-4
ABP1	taf9-ts2
ABP1	tys1-1
ABP1	yhc1-3
ABP140	ACS2_damp
ABP140	ALD5
ABP140	ATP11
ABP140	BCY1
ABP140	CTT1
ABP140	FRE6
ABP140	GCY1
ABP140	KGD2
ABP140	MDL1
ABP140	MFA2
ABP140	OCA2
ABP140	PAP2
ABP140	PHO23
ABP140	REX4
ABP140	RMA1
ABP140	RPT2_damp
ABP140	SHP1
ABP140	SNO4
ABP140	SRC1
ABP140	SWM1
ABP140	URE2
ABP140	YJU3
ABP140	YKU70
